 Year,Month,Rainfall,Temperature
1928,6,47.0535,19.2346
1928,7,4.39868,23.85
1928,8,25.8691,21.9417
1928,9,92.5211,20.0565
1928,10,50.5637,15.3854
1928,11,53.4327,10.5583
1928,12,64.6664,7.31902
1929,1,50.2055,7.25046
1929,2,129.993,9.27785
1929,3,41.4477,11.7785
1929,4,51.4467,13.6769
1929,5,28.5354,14.3568
1929,6,24.5019,19.7725
1929,7,18.6749,21.944
1929,8,1.58809,21.9563
1929,9,42.6403,19.8954
1929,10,51.3413,15.5558
1929,11,103.221,11.2095
1929,12,83.6063,10.0776
1930,1,114.915,8.82344
1930,2,58.0639,6.84233
1930,3,80.5614,11.2001
1930,4,104.815,10.9537
1930,5,26.771,15.5675
1930,6,49.8768,17.9931
1930,7,23.0724,20.6332
1930,8,7.80336,22.7096
1930,9,20.1095,20.0353
1930,10,79.2127,16.9581
1930,11,65.8117,12.2825
1930,12,76.656,9.77527
1931,1,81.8016,7.9324
1931,2,27.141,8.52286
1931,3,168.69,11.7045
1931,4,40.8561,12.9971
1931,5,69.9943,14.7872
1931,6,18.109,19.9076
1931,7,9.34856,20.7192
1931,8,26.7751,20.5724
1931,9,19.9041,18.6632
1931,10,100.53,15.9127
1931,11,95.9216,11.7796
1931,12,6.61059,7.15661
1932,1,68.3274,7.52189
1932,2,46.4193,6.91182
1932,3,90.6629,10.9931
1932,4,52.6296,11.0731
1932,5,49.4572,14.7196
1932,6,36.0562,17.7816
1932,7,18.4398,20.132
1932,8,8.95265,22.2428
1932,9,89.2418,19.3138
1932,10,67.4117,14.3507
1932,11,80.3458,11.7196
1932,12,181.921,9.13822
1933,1,100.72,7.08951
1933,2,30.4371,8.07833
1933,3,116.424,10.8718
1933,4,19.8247,14.243
1933,5,37.5018,17.4881
1933,6,20.9107,17.9716
1933,7,3.68007,22.3041
1933,8,3.1995,23.8018
1933,9,29.3568,18.9795
1933,10,123.696,15.2346
1933,11,84.6703,9.30464
1933,12,96.1611,5.67432
1934,1,30.3086,6.62699
1934,2,12.8981,7.38168
1934,3,112.074,8.76671
1934,4,116.794,11.1608
1934,5,35.3326,16.4239
1934,6,8.45983,19.7741
1934,7,7.81855,22.3979
1934,8,16.774,20.4648
1934,9,12.1816,19.7043
1934,10,13.1539,16.5431
1934,11,81.8122,9.02016
1934,12,224.011,10.563
1935,1,5.4802,6.3004
1935,2,51.3471,7.673
1935,3,46.9544,11.402
1935,4,44.8343,12.5634
1935,5,94.2129,13.2279
1935,6,38.9636,17.8966
1935,7,2.07487,22.0216
1935,8,10.5116,21.545
1935,9,8.48904,19.7785
1935,10,29.4276,14.1227
1935,11,152.157,10.577
1935,12,195.687,9.31466
1936,1,214.036,10.3732
1936,2,217.473,9.96934
1936,3,200.425,10.1431
1936,4,113.819,12.391
1936,5,76.0468,13.3279
